,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern,name,region,sub-region,alpha-3
607,2019,Guinea-Bissau,GNB,United Kingdom of Great Britain and Northern Ireland,GBR,8,0,0,,0,0,Guinea-Bissau,Africa,Sub-Saharan Africa,GNB
608,2019,Greece,GRC,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,,0,0,Greece,Europe,Southern Europe,GRC
609,2019,Grenada,GRD,United Kingdom of Great Britain and Northern Ireland,GBR,24,29,0,,0,0,Grenada,Americas,Latin America and the Caribbean,GRD
610,2019,Guatemala,GTM,United Kingdom of Great Britain and Northern Ireland,GBR,9,11,0,,0,0,Guatemala,Americas,Latin America and the Caribbean,GTM
611,2019,Guinea,GIN,United Kingdom of Great Britain and Northern Ireland,GBR,249,100,0,,0,0,Guinea,Africa,Sub-Saharan Africa,GIN
612,2019,Guyana,GUY,United Kingdom of Great Britain and Northern Ireland,GBR,20,9,0,,0,0,Guyana,Americas,Latin America and the Caribbean,GUY
613,2019,Haiti,HTI,United Kingdom of Great Britain and Northern Ireland,GBR,0,10,0,,0,0,Haiti,Americas,Latin America and the Caribbean,HTI
614,2019,Hong Kong,HKG,United Kingdom of Great Britain and Northern Ireland,GBR,0,16,0,,0,0,Hong Kong,Asia,Eastern Asia,HKG
615,2019,Honduras,HND,United Kingdom of Great Britain and Northern Ireland,GBR,50,203,0,,0,0,Honduras,Americas,Latin America and the Caribbean,HND
616,2019,Côte d'Ivoire,CIV,United Kingdom of Great Britain and Northern Ireland,GBR,236,81,0,,0,0,Côte d'Ivoire,Africa,Sub-Saharan Africa,CIV
617,2019,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,463,2248,0,,0,0,India,Asia,Southern Asia,IND
618,2019,Indonesia,IDN,United Kingdom of Great Britain and Northern Ireland,GBR,28,49,0,,0,0,Indonesia,Asia,South-eastern Asia,IDN
619,2019,Iran (Islamic Republic of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,19744,4845,0,,0,0,Iran (Islamic Republic of),Asia,Southern Asia,IRN
620,2019,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,5752,5338,0,,0,0,Iraq,Asia,Western Asia,IRQ
621,2019,Israel,ISR,United Kingdom of Great Britain and Northern Ireland,GBR,7,10,0,,0,0,Israel,Asia,Western Asia,ISR
622,2019,Italy,ITA,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,,0,0,Italy,Europe,Southern Europe,ITA
623,2019,Jamaica,JAM,United Kingdom of Great Britain and Northern Ireland,GBR,369,169,0,,0,0,Jamaica,Americas,Latin America and the Caribbean,JAM
624,2019,Jordan,JOR,United Kingdom of Great Britain and Northern Ireland,GBR,73,99,0,,0,0,Jordan,Asia,Western Asia,JOR
625,2019,Japan,JPN,United Kingdom of Great Britain and Northern Ireland,GBR,0,9,0,,0,0,Japan,Asia,Eastern Asia,JPN
626,2019,Kazakhstan,KAZ,United Kingdom of Great Britain and Northern Ireland,GBR,22,66,0,,0,0,Kazakhstan,Asia,Central Asia,KAZ
627,2019,Kenya,KEN,United Kingdom of Great Britain and Northern Ireland,GBR,303,268,0,,0,0,Kenya,Africa,Sub-Saharan Africa,KEN
628,2019,Kyrgyzstan,KGZ,United Kingdom of Great Britain and Northern Ireland,GBR,38,22,0,,0,0,Kyrgyzstan,Asia,Central Asia,KGZ
629,2019,"Korea, Republic of",KOR,United Kingdom of Great Britain and Northern Ireland,GBR,6,0,0,,0,0,"Korea, Republic of",Asia,Eastern Asia,KOR
630,2019,Korea (Democratic People's Republic of),PRK,United Kingdom of Great Britain and Northern Ireland,GBR,78,24,0,,0,0,Korea (Democratic People's Republic of),Asia,Eastern Asia,PRK
631,2019,Kuwait,KWT,United Kingdom of Great Britain and Northern Ireland,GBR,640,342,0,,0,0,Kuwait,Asia,Western Asia,KWT
632,2019,Lao People's Democratic Republic,LAO,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,,0,0,Lao People's Democratic Republic,Asia,South-eastern Asia,LAO
633,2019,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,32,17,0,,0,0,Liberia,Africa,Sub-Saharan Africa,LBR
634,2019,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,3755,896,0,,0,0,Libya,Africa,Northern Africa,LBY
635,2019,Saint Lucia,LCA,United Kingdom of Great Britain and Northern Ireland,GBR,24,22,0,,0,0,Saint Lucia,Americas,Latin America and the Caribbean,LCA
636,2019,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,180,126,0,,0,0,Lebanon,Asia,Western Asia,LBN
637,2019,Lesotho,LSO,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,,0,0,Lesotho,Africa,Sub-Saharan Africa,LSO
638,2019,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,5522,1419,0,,0,0,Sri Lanka,Asia,Southern Asia,LKA
639,2019,Macao,MAC,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,,0,0,Macao,Asia,Eastern Asia,MAC
640,2019,Mauritania,MRT,United Kingdom of Great Britain and Northern Ireland,GBR,6,5,0,,0,0,Mauritania,Africa,Sub-Saharan Africa,MRT
641,2019,North Macedonia,MKD,United Kingdom of Great Britain and Northern Ireland,GBR,20,7,0,,0,0,North Macedonia,Europe,Southern Europe,MKD
642,2019,"Moldova, Republic of",MDA,United Kingdom of Great Britain and Northern Ireland,GBR,12,5,0,,0,0,"Moldova, Republic of",Europe,Eastern Europe,MDA
643,2019,Maldives,MDV,United Kingdom of Great Britain and Northern Ireland,GBR,40,5,0,,0,0,Maldives,Asia,Southern Asia,MDV
644,2019,Mexico,MEX,United Kingdom of Great Britain and Northern Ireland,GBR,13,23,0,,0,0,Mexico,Americas,Latin America and the Caribbean,MEX
645,2019,Mali,MLI,United Kingdom of Great Britain and Northern Ireland,GBR,22,26,0,,0,0,Mali,Africa,Sub-Saharan Africa,MLI
646,2019,Malaysia,MYS,United Kingdom of Great Britain and Northern Ireland,GBR,248,331,0,,0,0,Malaysia,Asia,South-eastern Asia,MYS
647,2019,Malawi,MWI,United Kingdom of Great Britain and Northern Ireland,GBR,347,85,0,,0,0,Malawi,Africa,Sub-Saharan Africa,MWI
648,2019,Mongolia,MNG,United Kingdom of Great Britain and Northern Ireland,GBR,75,66,0,,0,0,Mongolia,Asia,Eastern Asia,MNG
649,2019,Morocco,MAR,United Kingdom of Great Britain and Northern Ireland,GBR,220,206,0,,0,0,Morocco,Africa,Northern Africa,MAR
650,2019,Mozambique,MOZ,United Kingdom of Great Britain and Northern Ireland,GBR,6,7,0,,0,0,Mozambique,Africa,Sub-Saharan Africa,MOZ
651,2019,Mauritius,MUS,United Kingdom of Great Britain and Northern Ireland,GBR,57,103,0,,0,0,Mauritius,Africa,Sub-Saharan Africa,MUS
